#{"t_start": 1644588382.388593, "env_id": null}
r,l,t
-199,2,6.999743
-200,1,7.002798
-200,1,7.005725
-200,1,7.008697
-197,4,7.016512
-200,1,7.019525
-199,2,7.023894
-200,1,7.026967
-199,2,7.031488
-200,1,7.034502
-197,4,7.042172
-195,6,7.053193
-197,4,7.060959
-197,4,7.069017
-195,6,7.079787
-200,1,7.08398
-199,2,7.089025
-200,1,7.09369
-199,2,7.099186
-199,2,7.104256
-198,3,7.112309
-200,1,7.116732
-200,1,7.119764
-200,1,7.123525
-200,1,7.127384
-196,5,7.138503
-200,1,7.142311
-200,1,7.145199
-200,1,7.14944
-199,2,7.154065
-199,2,7.16083
-199,2,7.168328
-195,6,7.183831
-200,1,7.188064
-200,1,7.191735
-200,1,7.195872
-194,7,7.21088
-198,3,7.21734
-191,10,7.23693
-200,1,7.239917
-200,1,7.243045
-196,5,7.25266
-200,1,7.255515
-197,4,7.263229
-198,3,7.269388
-199,2,7.27398
-198,3,7.280091
-200,1,7.283449
-200,1,7.28636
-200,1,7.2892
-200,1,7.2939
-197,4,7.302333
-199,2,7.306889
-198,3,7.312935
-200,1,7.31602
-200,1,7.318919
-200,1,7.321893
-199,2,7.326933
-200,1,7.330195
-199,2,7.335148
-200,1,7.338215
-196,5,7.347497
-200,1,7.350404
-200,1,7.353453
-200,1,7.356481
-200,1,7.359348
-200,1,7.362225
-196,5,7.37123
-192,9,7.386214
-200,1,7.389213
-199,2,7.393563
-197,4,7.400795
-200,1,7.403644
-200,1,7.40678
-200,1,7.409653
-200,1,7.41254
-200,1,7.415485
-200,1,7.418375
-197,4,7.42576
-199,2,7.430336
-199,2,7.434798
-200,1,7.437652
-195,6,7.448066
-195,6,7.458382
-195,6,7.468762
-200,1,7.471601
-199,2,7.475965
-200,1,7.478845
-200,1,7.481791
-200,1,7.484681
-199,2,7.489055
-200,1,7.49195
-200,1,7.494859
-200,1,7.497706
-199,2,7.502167
-200,1,7.505018
-200,1,7.508078
-196,5,7.517423
-200,1,7.520271
-200,1,7.52312
-200,1,7.525966
-195,6,7.536598
-198,3,7.542571
-197,4,7.550041
-200,1,7.55285
-197,4,7.560423
-199,2,7.564814
-200,1,7.567667
-200,1,7.570512
-195,6,7.581065
-200,1,7.584081
-198,3,7.5899
-199,2,7.594356
-196,5,7.603505
-198,3,7.609849
-199,2,7.614332
-199,2,7.618804
-200,1,7.621656
-197,4,7.629195
-197,4,7.636757
-198,3,7.642556
-200,1,7.645386
-199,2,7.649725
-199,2,7.654111
-199,2,7.658434
-200,1,7.661254
-199,2,7.665588
-200,1,7.668404
-197,4,7.675757
-199,2,7.680041
-200,1,7.682844
-200,1,7.685686
-200,1,7.688539
-200,1,7.691368
-199,2,7.69565
-200,1,7.698459
-200,1,7.701371
-195,6,7.712955
-200,1,7.716002
-200,1,7.719123
-194,7,7.732313
-200,1,7.735176
-199,2,7.739539
-199,2,7.74412
-199,2,7.748524
-195,6,7.758845
-198,3,7.764743
-199,2,7.76905
-199,2,7.773375
-199,2,7.777706
-199,2,7.782308
-194,7,7.794322
-200,1,7.797181
-200,1,7.800026
-197,4,7.807432
-200,1,7.810296
-200,1,7.813268
-200,1,7.816491
-200,1,7.819384
-194,7,7.831622
-199,2,7.836208
-200,1,7.839086
-197,4,7.846876
-200,1,7.850161
-200,1,7.85315
-200,1,7.856313
-198,3,7.863159
-197,4,7.872787
-197,4,7.881227
-199,2,7.887088
-199,2,7.893081
-198,3,7.899356
-197,4,7.907067
-198,3,7.913199
-199,2,7.917615
-193,8,7.931462
-199,2,7.935995
-200,1,7.939062
-191,10,7.957114
-200,1,7.960107
-200,1,7.962996
-195,6,7.974601
-199,2,7.979582
-196,5,7.989279
-198,3,7.995546
-200,1,7.998509
-200,1,8.001974
-200,1,8.00503
-199,2,8.00985
-200,1,8.012988
-200,1,8.015984
-200,1,8.019104
-193,8,8.033068
-195,6,8.043919
-200,1,8.046863
-198,3,8.053076
-199,2,8.057745
-197,4,8.065674
-199,2,8.070103
-200,1,8.073261
-199,2,8.077833
-198,3,8.08414
-197,4,8.091761
-200,1,8.094655
-198,3,8.100984
-199,2,8.105569
-200,1,8.108562
-198,3,8.114853
-199,2,8.119401
-199,2,8.124196
-199,2,8.128826
-200,1,8.131709
-197,4,8.139566
-200,1,8.142412
-199,2,8.14732
-200,1,8.150223
-199,2,8.15509
-197,4,8.162735
-200,1,8.1656
-200,1,8.168619
-199,2,8.173154
-198,3,8.179223
-200,1,8.182168
-199,2,8.186899
-200,1,8.189908
-199,2,8.194518
-200,1,8.197432
-198,3,8.203742
-200,1,8.206707
-200,1,8.210089
-200,1,8.212976
-199,2,8.217769
-192,9,8.23353
-200,1,8.236625
-199,2,8.241291
-200,1,8.244139
-198,3,8.250261
-198,3,8.256695
-199,2,8.26125
-200,1,8.264258
-199,2,8.269002
-198,3,8.275356
-196,5,8.285249
-200,1,8.288311
-199,2,8.292706
-199,2,8.297318
-195,6,8.307953
-200,1,8.310797
-200,1,8.313904
-199,2,8.318235
-200,1,8.321477
-200,1,8.324787
-196,5,8.334122
-199,2,8.338934
-200,1,8.341893
-200,1,8.344872
-194,7,8.356976
-196,5,8.366199
-200,1,8.369314
-200,1,8.372412
-199,2,8.377023
-198,3,8.382821
-200,1,8.385928
-197,4,8.393427
-200,1,8.396357
-197,4,8.404134
-194,7,8.416814
-200,1,8.419707
-194,7,8.432069
-199,2,8.436683
-200,1,8.439598
-199,2,8.444118
-198,3,8.450261
-200,1,8.453104
-200,1,8.456437
-198,3,8.462557
-200,1,8.465681
-199,2,8.469984
-197,4,8.477621
-199,2,8.482219
